theta_deg,channel,delta_R,delta_H,delta_Qc,delta_Qd
0.15,TT,0.00831576091033,-0.0437915251979,-0.0318902680405,-0.000146941308366
0.155,TT,0.00821027899382,-0.0675329508332,-0.0413141603536,-0.000141174537448
0.16,TT,0.00810412223003,-0.0545253949661,-0.00390187273491,-1.03889573669e-05
0.165,TT,0.00799730131836,-0.0600151125692,0.0177617964853,8.56538644315e-05
0.17,TT,0.00788982693773,-0.0450250295248,0.0425052581223,0.00021210416402
0.175,TT,0.00778170973548,-0.038299683159,-0.0403594730481,-0.000212396715058
0.18,TT,0.0076729603165,-0.0186559379026,0.0490200359929,0.000205865180143
0.185,TT,0.00756358923248,-0.0223042273742,0.034413018068,0.000177666630709
0.19,TT,0.00745360697143,-0.013549648239,-0.0393437900818,-0.000213846225294
0.195,TT,0.00734302394748,-0.0030265904213,0.0311198063399,0.000169853964602
0.2,TT,0.00723185049113,-0.0222019628282,-0.0303784441654,-0.000159603015941
0.205,TT,0.0071200968398,-0.0240358504954,0.0256433100035,0.000163533510211
0.21,TT,0.00700777312892,-0.0445557408236,0.070538062981,0.000344415887564
0.215,TT,0.00689488938349,-0.050781148772,0.0624172703679,0.000294395419657
0.22,TT,0.0067814555101,-0.0492373536063,0.00174423994264,-1.47628414357e-05
0.225,TT,0.00666748128957,-0.0403627164934,-0.014987172311,-5.99537048027e-05
0.23,TT,0.00655297637004,-0.0271236945076,-0.0506283055821,-0.000246089707136
0.235,TT,0.00643795026069,-0.0252570118858,-0.00597462420883,-3.45785333301e-06
0.24,TT,0.00632241232598,-0.0265599806703,-0.0129051811497,-6.5828067903e-05
0.245,TT,0.00620637178044,-0.0362111077834,-0.013145343722,-4.6480508523e-05
0.25,TT,0.00608983768401,-0.0247181862891,0.0135563350471,4.93930901322e-05
0.255,TT,0.00597281893793,-0.0307223168569,0.0155325282993,6.88633205787e-05
0.26,TT,0.00585532428114,-0.0468837255802,0.0358891025568,0.000174790220703
0.265,TT,0.00573736228716,-0.0131590506241,0.0430607971454,0.000211232684512
0.27,TT,0.00561894136156,-0.00984186161453,-0.02818569515,-0.000122731510303
0.275,TT,0.00550006973975,-0.00672727082936,-0.0195257049848,-9.21629249782e-05
0.28,TT,0.00538075548534,-0.0213289934861,-0.00146675735158,-2.05056338187e-06
0.285,TT,0.00526100648887,-0.0193910876037,0.00479821533551,-6.21005435267e-06
0.29,TT,0.00514083046694,0.0103564431813,0.0326427017446,0.000170621242135
0.295,TT,0.00502023496176,-0.00047074102867,0.0837940308463,0.000430232513763
0.3,TT,0.00489922734097,0.0281701803523,0.0350047622267,0.000173034166498
0.15,EE,-0.00787939757443,-0.000307442631678,-0.00453749795995,-3.62043627982e-05
0.155,EE,-0.00797298801532,-0.00594650845413,-0.0407952996247,-0.000166846962318
0.16,EE,-0.00806634231667,-0.0092773592142,-0.0445313774533,-0.000208174540958
