label,theta_deg,delta,perm_p
TT,-0.5,0.00067965481,0.944502775
EE,-0.5,0.010795399,0.359832008
BB,-0.5,0.0082650128,0.371031448
TT,-0.48,0.0120137789,0.232288386
EE,-0.48,-0.00442494613,0.668166592
BB,-0.48,-0.000255823308,0.98540073
TT,-0.46,-0.0030482259,0.758912054
EE,-0.46,0.0209271037,0.0516474176
BB,-0.46,-0.0126493643,0.219789011
TT,-0.44,-0.0124883205,0.280935953
EE,-0.44,0.00207763247,0.873556322
BB,-0.44,-0.02109189,0.11479426
TT,-0.42,-0.00811203233,0.450277486
EE,-0.42,-0.00314855092,0.788210589
BB,-0.42,-0.0151512295,0.351732413
TT,-0.4,-0.00544231484,0.651117444
EE,-0.4,-0.0140863253,0.12139393
BB,-0.4,0.00454237947,0.704064797
TT,-0.38,-0.00623515115,0.558722064
EE,-0.38,0.0107467963,0.256337183
BB,-0.38,-0.0067982835,0.446027699
TT,-0.36,-0.0130780574,0.271236438
EE,-0.36,0.0157256213,0.130743463
BB,-0.36,0.00473327846,0.766411679
TT,-0.34,0.00250197768,0.82040898
EE,-0.34,-0.00288763005,0.8120094
BB,-0.34,0.00660369914,0.592570371
TT,-0.32,-0.00542509076,0.627218639
EE,-0.32,0.0143094451,0.0690465477
BB,-0.32,-0.00611437787,0.557972101
TT,-0.3,0.00690530489,0.590770461
EE,-0.3,-0.00880674731,0.382030898
BB,-0.3,-0.0111250616,0.196740163
TT,-0.28,-0.0029575899,0.805909705
EE,-0.28,-0.000335858858,0.960701965
BB,-0.28,-0.0313905418,0.00889955502
TT,-0.26,0.00970741476,0.432528374
EE,-0.26,-0.00838024291,0.491225439
BB,-0.26,-0.00016582196,0.993450327
TT,-0.24,-0.000997104063,0.93160342
EE,-0.24,0.00854869812,0.459377031
BB,-0.24,-0.0083481528,0.449627519
TT,-0.22,0.00234971788,0.847257637
EE,-0.22,-0.0195625404,0.112694365
BB,-0.22,-0.0046214942,0.741362932
TT,-0.2,-0.00208974557,0.854307285
EE,-0.2,-0.0140398989,0.322733863
BB,-0.2,0.0134390164,0.212239388
TT,-0.18,0.0177516302,0.125693715
EE,-0.18,0.00755805413,0.567321634
BB,-0.18,0.00200481883,0.761261937
TT,-0.16,-0.00908864988,0.322333883
EE,-0.16,0.0147460229,0.167241638
BB,-0.16,0.0130080621,0.281035948
TT,-0.14,-0.00566014903,0.688515574
EE,-0.14,0.00883433929,0.456077196
BB,-0.14,0.0045903274,0.640867957
TT,-0.12,0.000467667563,0.973251337
EE,-0.12,0.0251273047,0.0301484926
BB,-0.12,0.00131801782,0.864356782
TT,-0.1,0.0185455507,0.0464476776
EE,-0.1,-0.000304662568,0.9860007
BB,-0.1,-9.26458868e-05,0.993550322
TT,-0.08,0.0263608444,0.0738963052
EE,-0.08,0.0051154252,0.626968652
BB,-0.08,0.00543263708,0.693565322
TT,-0.06,0.0187021681,0.137693115
