n,is_prime,is_twin_prime,spectral_gap,robustness,combined,rank
199,1,1,-45.941366040675916,465921.06993840454,232937.56428618194,1
197,1,1,-45.47908414844744,460422.60078083054,230188.56084834106,2
193,1,1,-44.5545027562443,449318.7173521957,224637.08142471974,3
191,1,1,-44.092202885909415,443714.3822784131,221835.1450377636,4
181,1,1,-41.780603644903266,415193.72524966655,207575.97232301082,5
198,0,0,-39.57595308191586,412372.10146803706,206166.26275747758,6
179,1,1,-41.318262249123485,409394.78638378775,204676.73406076932,7
196,0,0,-39.17570652398001,407460.738150993,203710.7812222345,8
195,0,0,-38.975581339762485,404993.1529384418,202477.08867855102,9
194,0,0,-38.77545485907676,402517.71007417596,201239.46730965844,10
192,0,0,-38.37519792691949,397543.49752051756,198752.5611612953,11
190,0,0,-37.97493556044498,392538.61327354464,196250.3191689921,12
189,0,0,-37.77480228518993,390024.838618165,194993.5319079399,13
188,0,0,-37.5746675854515,387503.60351716937,193733.01442479197,14
187,0,0,-37.37453143827588,384974.98161936016,192468.80354396094,15
186,0,0,-37.174393820213574,382439.04878486425,191200.937195522,16
185,0,0,-36.97425470730597,379895.8830843694,189929.45441483107,17
184,0,0,-36.774114075071424,377345.5648689636,188654.39537744428,18
173,1,0,-38.029705201451605,376752.95539811446,188357.4628464565,19
183,0,0,-36.573971898490974,374788.176780998,187375.80140454977,20
182,0,0,-36.3738281519934,372223.80377753463,186093.7149746913,21
180,0,0,-35.973535844108916,367074.45461660274,183519.2405403793,22
178,0,0,-35.573236935210005,361898.24456316145,180931.33566311313,23
167,1,0,-36.70861072267728,359624.0408009061,179793.6660950917,24
177,0,0,-35.3730849351316,359300.3045706525,179632.46574285868,25
176,0,0,-35.1729311992186,356695.9397424677,178330.38340563426,26
175,0,0,-34.9727756975756,354085.2520919947,177025.13965814855,27
174,0,0,-34.772618399617,351468.34615918517,175716.78677039276,28
163,1,0,-35.82783606928503,348088.8696123357,174026.5208881332,29
172,0,0,-34.372298288838486,346216.31057480845,173090.9691382598,30
171,0,0,-34.17213541121241,343581.40301045333,171773.61543752105,31
170,0,0,-33.9719706076147,340940.72140626505,170453.3747178287,32
169,0,0,-33.77180384369371,338294.383466892,169130.30583152417,33
168,0,0,-33.57163508427627,335642.50959911494,167804.46898201533,34
157,1,0,-34.50659967385832,330635.2547685032,165300.37408441465,35
166,0,0,-33.17129143400264,330322.64945916727,165144.73908386662,36
165,0,0,-32.97111646846574,327654.9178011513,163810.9733423414,37
151,1,1,-34.84452769197802,325552.7603494233,162758.95791086566,38
164,0,0,-32.770939358016896,324982.1594957771,162474.69427820953,39
162,0,0,-32.37057854272057,319622.10322589485,159794.86632367608,40
149,1,1,-34.382035136827014,319422.24035040865,159693.92915763592,41
161,0,0,-32.17039475555119,316935.08257130824,158451.45608827635,42
160,0,0,-31.97020865876351,314243.58994533843,157105.80986833983,43
159,0,0,-31.770020208563327,311547.7712861111,155758.00063295127,44
