kind,channel,label,raw,n,psd_obs
scan,BB,n=100,100,100,0.9220648726194604
scan,BB,p=101,101,101,1.5515619500475404
scan,BB,n=102,102,102,0.7775839115004839
scan,BB,p=103,103,103,1.2770651928137036
scan,BB,n=104,104,104,1.1454449578537844
scan,BB,n=105,105,105,1.044565419963553
scan,BB,n=106,106,106,0.7955505868047004
scan,BB,p=107,107,107,1.365194494905875
scan,BB,n=108,108,108,0.8793887510740349
scan,BB,p=109,109,109,1.5594101003109706
scan,BB,n=110,110,110,0.8928657172828993
scan,BB,n=111,111,111,0.9098121751201116
scan,BB,n=112,112,112,1.1304880361378717
scan,BB,p=113,113,113,1.6796857396736289
scan,BB,n=114,114,114,0.956157859307014
scan,BB,n=115,115,115,0.9350330090889902
scan,BB,n=116,116,116,1.0355586559558145
scan,BB,n=117,117,117,0.834363043098775
scan,BB,n=118,118,118,0.8447764424184298
scan,BB,n=119,119,119,0.876448808265263
scan,BB,n=120,120,120,1.0053161489266211
scan,BB,n=121,121,121,0.8653884315366639
scan,BB,n=122,122,122,0.7537015571195382
scan,BB,n=123,123,123,0.9310667805901869
scan,BB,n=124,124,124,0.9767728608964454
scan,BB,n=125,125,125,0.7596750423220875
scan,BB,n=126,126,126,0.9409948603762197
scan,BB,p=127,127,127,1.3961323701999273
scan,BB,n=128,128,128,0.8899374689147934
scan,BB,n=129,129,129,0.965310766045308
scan,BB,n=130,130,130,1.0005655448449045
scan,BB,p=131,131,131,1.3535606050366895
scan,BB,n=132,132,132,0.9782714237613395
scan,BB,n=133,133,133,0.8191038431343709
scan,BB,n=134,134,134,0.7624817953529257
scan,BB,n=135,135,135,1.0306161928876674
scan,BB,n=136,136,136,0.8243590961295187
target,BB,p=137,137,137,1.5763329328181257
scan,BB,n=138,138,138,0.7904567072160773
target,BB,p=139,139,139,1.2157366572048234
scan,BB,n=140,140,140,0.9036092629838196
scan,BB,n=141,141,141,0.8658334815494979
scan,BB,n=142,142,142,0.8765957313731736
scan,BB,n=143,143,143,0.8793618181437887
scan,BB,n=144,144,144,1.0702269770988209
scan,BB,n=145,145,145,1.0101482562403437
scan,BB,n=146,146,146,1.0201147916694844
scan,BB,n=147,147,147,0.6835650032989494
scan,BB,n=148,148,148,0.942049284867249
scan,BB,p=149,149,149,1.4014837726370253
scan,BB,n=150,150,150,0.8013870894865246
scan,BB,p=151,151,151,1.4717071750909674
scan,BB,n=152,152,152,1.0147192480460152
scan,BB,n=153,153,153,0.964271172362589
scan,BB,n=154,154,154,0.938424650036252
scan,BB,n=155,155,155,0.8986763140004215
scan,BB,n=156,156,156,0.9118634240047438
scan,BB,p=157,157,157,1.6665547714346594
scan,BB,n=158,158,158,0.7184630334398858
scan,BB,n=159,159,159,0.8944911153682914
scan,BB,n=160,160,160,0.7884815913216824
scan,BB,n=161,161,161,0.8263206196155309
scan,BB,n=162,162,162,0.8427156624087172
scan,BB,p=163,163,163,1.2969153078363314
scan,BB,n=164,164,164,0.8028841353160853
scan,BB,n=165,165,165,0.6289308751541228
scan,BB,n=166,166,166,0.8684368783537421
scan,BB,p=167,167,167,1.2405597757967428
scan,BB,n=168,168,168,0.8262817185699318
scan,BB,n=169,169,169,0.9253501706852884
scan,BB,n=170,170,170,0.8776355460682747
scan,BB,n=171,171,171,0.8674555117341077
scan,BB,n=172,172,172,0.8392471766774391
scan,BB,p=173,173,173,1.5308728648257461
scan,BB,n=174,174,174,0.7486372948523419
scan,BB,n=175,175,175,0.8650599437463424
scan,BB,n=176,176,176,0.7593859013938585
scan,BB,n=177,177,177,0.7924807106903534
scan,BB,n=178,178,178,0.7164612768057385
scan,BB,p=179,179,179,1.3245593721675588
scan,BB,n=180,180,180,1.0438001288151053
scan,BB,p=181,181,181,1.5776095494159237
scan,BB,n=182,182,182,0.5726686041967881
scan,BB,n=183,183,183,0.8763095603296277
scan,BB,n=184,184,184,0.8149719087779868
scan,BB,n=185,185,185,0.865908174036157
scan,BB,n=186,186,186,0.9703017914244269
scan,BB,n=187,187,187,0.8685377981425317
scan,BB,n=188,188,188,0.9290464315865649
scan,BB,n=189,189,189,0.8828372342730748
scan,BB,n=190,190,190,0.7236505411504036
scan,BB,p=191,191,191,1.347582216465274
scan,BB,n=192,192,192,0.9208053364213208
scan,BB,p=193,193,193,1.5128541448858277
scan,BB,n=194,194,194,0.932577119700475
scan,BB,n=195,195,195,0.919794413373952
scan,BB,n=196,196,196,0.8256725420058858
scan,BB,p=197,197,197,1.4275566057858418
scan,BB,n=198,198,198,0.7764918074957147
scan,BB,p=199,199,199,1.3784130587715064
scan,BB,n=200,200,200,0.7975813929530873
