channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k,obs_psd,mc_mean,mc_std,z,p_tail
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,0,1.5231634886264344e-06,3.5774214722784665e-07,3.037942431957677e-07,3.8362193079727973,0.008
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,1,4.031027556482261e-06,1.7172191983644438e-06,5.264870980425568e-07,4.3948054315488445,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,2,9.167177558945535e-06,3.6562428920821075e-06,5.957701547262442e-07,9.250101944760388,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,3,1.4048822782445149e-05,2.693840202595296e-06,4.540998766439376e-07,25.00547382608818,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,4,4.697598564426479e-06,6.643920754492213e-07,1.411217662045797e-07,28.579620263046085,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,5,1.3762961139010272e-05,2.4449347986317724e-07,8.191425774733125e-08,165.03192522168126,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,6,1.53438112339019e-05,2.0802683963769017e-07,6.869728672981346e-08,220.32579618163487,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,7,3.410557462614699e-06,2.0199998245212734e-07,6.483087247961472e-08,49.491196978283206,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,8,2.0227075640593275e-06,1.4885597516291872e-07,4.3060060796638877e-08,43.51716078029029,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,9,8.662741999159983e-07,1.391490173145168e-07,3.638883779014944e-08,19.982094146417516,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,10,5.863128563090447e-07,1.3620001300145953e-07,4.003618287256171e-08,11.242651297211061,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,11,1.231958334606122e-06,1.1474915702996447e-07,3.044666329822296e-08,36.69397748558425,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,12,1.3372627950465215e-06,1.1204583236838009e-07,2.9449471937668466e-08,41.60403844494682,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,13,1.0915616842559174e-06,1.1519699903464171e-07,2.9226364727087626e-08,33.406983534847896,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,14,4.982466649437448e-07,1.1897555975278638e-07,2.8027690101343113e-08,13.532014369346241,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,15,7.594469261833555e-07,1.004548545834836e-07,2.4750396559352756e-08,26.625515676873064,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,16,5.868728192170941e-07,9.88007534307662e-08,2.3801649613132334e-08,20.505808367040192,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,17,5.045188576366178e-07,1.167712275928223e-07,2.606066437140024e-08,14.878654838489899,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,18,4.976865270717911e-07,9.500086371331589e-08,2.1348267226760265e-08,18.862686094434153,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,19,3.364019162313898e-07,8.945528667630175e-08,2.0308724766322544e-08,12.15963249275964,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,20,2.581148021374473e-07,9.42021444231418e-08,2.135263303423197e-08,7.676461139547761,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,21,2.86162957753851e-07,7.946040213535878e-08,1.6026375846959498e-08,12.897648076667785,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,22,2.7522155845210345e-07,9.652836499971409e-08,2.0673987734905835e-08,8.643382967219472,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,23,2.165541780420427e-07,9.564131324803417e-08,1.946261350717595e-08,6.212570821972467,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,24,2.564018707642932e-07,7.735597409281932e-08,1.699920939143504e-08,10.532601402138454,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,25,3.437817552036624e-07,7.870626168648231e-08,1.5771322658419716e-08,16.80743582883115,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,26,5.183285296652936e-07,1.2750715925553465e-07,2.2805480214006364e-08,17.13716908139165,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,27,6.154616650666343e-07,1.6385050966691896e-07,2.908805955316391e-08,15.52565424910214,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,28,4.5496462067833995e-07,1.213742640084226e-07,2.207516065042913e-08,15.111570962154357,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,29,4.7356970784304175e-07,1.0541680548183967e-07,1.9817156099101553e-08,18.577484101156823,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,30,4.374846453420627e-07,1.1269073919395479e-07,2.017759533745354e-08,16.096759832685677,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,31,3.113657257071733e-07,1.1067180925962069e-07,2.1373645673309225e-08,9.389784013223968,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,32,2.7771873250161385e-07,1.1742437966351621e-07,2.0741549475649065e-08,7.728176384618032,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,33,3.157353444255701e-07,1.3341184625880597e-07,2.067834153520647e-08,8.817123842177784,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,34,2.9787624512768773e-07,1.0982317040046042e-07,1.799629030229182e-08,10.449546632578985,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,35,3.2565817016632307e-07,8.484621868400886e-08,1.5428655773165316e-08,15.608096714501372,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,36,3.0603637072615565e-07,7.694490143602415e-08,1.3278851169619112e-08,17.252356123568386,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,37,2.2169313170983698e-07,8.04794182206512e-08,1.3797536468675238e-08,10.23470485544905,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,38,2.1204047019647043e-07,6.968022738304797e-08,1.122102405001551e-08,12.686920746170728,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,39,1.92868878122639e-07,5.6802721517684736e-08,9.712271025518083e-09,14.009715775790562,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,40,1.5068771783215914e-07,5.30248907711907e-08,9.344750878022243e-09,10.451089422903712,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,41,1.353784207124588e-07,5.408150478099557e-08,9.339811165528738e-09,8.704342570812665,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,42,1.2787431072047237e-07,5.5301959695541354e-08,9.557141533421987e-09,7.5935205909780095,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,43,1.549650440387543e-07,5.9456952048891144e-08,1.0288995767354635e-08,9.282547505063159,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,44,1.4506301957816176e-07,5.5768864779285006e-08,9.66497802168622e-09,9.238940285070392,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,45,1.7282867553454495e-07,5.286770042088787e-08,8.764429332103178e-09,13.687254533989188,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,46,1.424442516737457e-07,5.650948220635085e-08,9.531346003314929e-09,9.016016146880764,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,47,1.065323589406096e-07,5.1007732471434745e-08,8.31371133386696e-09,6.6786810654572815,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,48,1.1119473714689766e-07,4.874460932080212e-08,8.047418035355723e-09,7.760268890186348,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,49,1.283528678826124e-07,4.940258392067704e-08,7.924616549331958e-09,9.962662984443185,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,50,1.313033877367454e-07,5.002556305767045e-08,8.267105929781676e-09,9.83147250917364,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,51,1.3469067482206033e-07,4.981311223222825e-08,7.706007317719951e-09,11.014466907480903,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,52,1.0591469781773653e-07,4.7435350675547004e-08,7.091208011141346e-09,8.24673977273121,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,53,9.868129711322414e-08,4.8121119956126754e-08,7.62129609766166e-09,6.634065454117454,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,54,1.0213531326890074e-07,4.521585530833779e-08,7.580936585300226e-09,7.508235601249101,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,55,1.1156195115643821e-07,4.5195575341325045e-08,6.90453732116382e-09,9.611994653383455,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,56,1.1464514318534164e-07,4.916740607634072e-08,8.099299302834855e-09,8.084370593155251,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,57,8.831743334321899e-08,4.2721953024352745e-08,5.920745441255567e-09,7.700969543658873,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,58,9.006264119242635e-08,4.50328766216082e-08,6.971858734320919e-09,6.458789009758126,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,59,9.575204075156463e-08,4.593982838258907e-08,6.9584852515581164e-09,7.158485010487276,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,60,9.599117779830225e-08,4.2074690957927644e-08,6.199424426876997e-09,8.697014936842356,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,61,1.1291238848350061e-07,4.189338781668832e-08,6.433263153231983e-09,11.039343327830967,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,62,9.692693643469504e-08,4.0791739461573305e-08,5.842553291641486e-09,9.607990577241335,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,63,9.400508744585997e-08,4.134454597415374e-08,6.160078434583757e-09,8.548680350571633,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,64,8.572463983820123e-08,3.872510362391383e-08,5.242258582931534e-09,8.965512759579422,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,65,9.079777751007958e-08,3.965616734843828e-08,6.097546808258769e-09,8.387243553812985,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,66,8.905831883304456e-08,4.0615464586849035e-08,6.088885567604672e-09,7.955947555318013,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,67,9.700125307252402e-08,4.095976680127943e-08,6.3869502267854535e-09,8.774373414751068,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,68,9.186680966180407e-08,4.163613783365233e-08,6.468194404257987e-09,7.765795009977603,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,69,9.458626815182988e-08,4.2274297761676885e-08,6.439614569135776e-09,8.123462953959601,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,70,1.0579616894727477e-07,4.384817380352766e-08,7.005008535503613e-09,8.843386104353042,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,71,1.0128376861191667e-07,4.197955829506635e-08,6.446774591659244e-09,9.199051319954222,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,72,9.147399720727189e-08,3.904720690131911e-08,5.407509219406099e-09,9.695182787263146,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,73,6.959931138178549e-08,4.2091519944171585e-08,6.262077984672494e-09,4.3927577243438884,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,74,7.086865878506211e-08,4.114971859251443e-08,6.227668307630354e-09,4.772081415468934,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,75,6.598260814118492e-08,4.011396445227817e-08,6.216625833339636e-09,4.161203260806488,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,76,6.40849134261371e-08,3.740173305861223e-08,5.380310919003062e-09,4.959412340517506,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,77,7.088779196509395e-08,3.623617718927546e-08,5.209662172192008e-09,6.651413014989902,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,78,7.09064251618724e-08,3.707252620676408e-08,5.558145761532645e-09,6.087263703890108,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,79,5.923908484780945e-08,3.4667369516935874e-08,5.001096140122839e-09,4.913265940588384,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,80,5.821509176248466e-08,3.356838046122688e-08,4.4902713127341995e-09,5.488913605590126,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,81,5.876523513799323e-08,3.313423435148132e-08,4.508226620762517e-09,5.685384285800768,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,82,5.6261550560342497e-08,3.3397205887380164e-08,4.6448152914877385e-09,4.922551972058907,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,83,6.373458750378239e-08,3.454919955914998e-08,5.05846998216877e-09,5.769607815705464,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,84,6.091480838176435e-08,3.437788604718851e-08,5.080941239625911e-09,5.222835904421843,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,85,6.4489018995205e-08,3.4086152249337456e-08,4.813408511326015e-09,6.316286405845087,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,86,8.362691107377982e-08,3.994564278815858e-08,5.989119547455885e-09,7.293437364124177,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,87,9.354624768847474e-08,4.671375752966932e-08,7.195309785860198e-09,6.508752444660255,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,88,9.116741337144253e-08,4.575706935935565e-08,6.94836412044801e-09,6.535400739643299,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,89,7.73231925881241e-08,4.0158093822540356e-08,5.826468072980061e-09,6.378666852725914,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,90,5.093166139349935e-08,3.8260643387106044e-08,5.815307162318572e-09,2.1789077778208625,0.03
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,91,5.256009820567985e-08,3.77646408084628e-08,5.751986998926416e-09,2.572234151429508,0.014
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,92,5.574631365026039e-08,3.5077722875168916e-08,5.252034805776118e-09,3.9353491626446258,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,93,5.079995350866975e-08,3.1397942810438387e-08,4.305566427739121e-09,4.5062620734943515,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,94,5.970057080036178e-08,3.200322598562164e-08,4.539494715860063e-09,6.101415806911571,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,95,5.7083231944476385e-08,3.14848293895308e-08,4.483271603990791e-09,5.709759482820342,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,96,5.1128558036194167e-08,3.1286721693904546e-08,4.235115458852839e-09,4.68507565733855,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,97,5.234486703216074e-08,3.218473522140904e-08,4.531308803924972e-09,4.449074800042144,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,98,4.8690141027620166e-08,3.195774844740596e-08,4.219282977478148e-09,3.965695751986539,0.004
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,99,5.3756309678389837e-08,3.474717979203075e-08,4.973109628053874e-09,3.8223830375921,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,100,5.293957153672801e-08,3.372216627661691e-08,4.6049283351222336e-09,4.17322569681228,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,101,5.089171985055709e-08,3.3309626796649176e-08,4.932316683787371e-09,3.5646723803645104,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,102,5.2433606344989126e-08,3.1105888824759413e-08,4.159227768609191e-09,5.1278070610115964,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,103,5.5481075706437376e-08,2.8942510572885707e-08,3.939119819118295e-09,6.7371814903289415,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,104,5.911659001036713e-08,2.9337629823608094e-08,4.1110307918191096e-09,7.243672376771958,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,105,6.446880307407038e-08,3.088428909495753e-08,4.176686829630879e-09,8.040946173137174,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,106,6.516680544527756e-08,3.2964431022654517e-08,4.769536871596299e-09,6.751677424782198,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,107,5.277866304187907e-08,3.180799094080771e-08,4.693019035293777e-09,4.468482216535186,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,108,5.2079107044088797e-08,2.972106160040966e-08,4.0727148197063865e-09,5.489715443737106,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,109,5.326384062976598e-08,2.7836483424371683e-08,3.684071599055789e-09,6.901971506718604,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,110,4.9265554580404203e-08,2.60071814328685e-08,3.2934302538476645e-09,7.062051221629273,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,111,5.2472489489414084e-08,2.7114734593177394e-08,3.691176434878356e-09,6.8698300781908745,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,112,5.003356753092432e-08,2.6554418727557502e-08,3.6641509897967895e-09,6.407800570649779,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,113,3.970660234254273e-08,2.6047563481877278e-08,3.2818909250980577e-09,4.161941750168721,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,114,3.860206649174325e-08,2.5934274630421622e-08,3.380599762385435e-09,3.7472024941464586,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,115,3.3321166338471644e-08,2.486519025943481e-08,3.2482568656257424e-09,2.6032350361577334,0.018
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,116,3.5239130913104466e-08,2.5156773006677103e-08,3.2237260044475557e-09,3.127548027505259,0.004
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,117,4.0031531723258124e-08,2.5466220665287813e-08,3.4546086136353456e-09,4.2161971693351905,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,118,4.453492513915358e-08,2.6056887242868248e-08,3.3957386749916365e-09,5.44153707479591,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,119,4.228284210592627e-08,2.5029402006299944e-08,3.184664897094174e-09,5.417662660636324,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,120,3.7848012143733e-08,2.4275631892916745e-08,2.831195486250976e-09,4.793868991642321,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,121,4.482781130993657e-08,2.519287889622273e-08,3.240401891245176e-09,6.059412712590659,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,122,4.2116198936404666e-08,2.5461126450514818e-08,3.3119594346963195e-09,5.028767052944592,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,123,3.837908880459727e-08,2.6607277118375644e-08,3.7062563835440797e-09,3.1762000433885036,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,124,4.2637380734477755e-08,2.768371677090142e-08,3.6940839953598846e-09,4.0480032349994035,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,125,3.840958189208473e-08,2.5509204236482605e-08,3.1421716540101756e-09,4.105561081979117,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,126,3.7528902241514246e-08,2.443844780292277e-08,3.123092210374475e-09,4.191504303045174,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,127,3.80099419934412e-08,2.3980519040682523e-08,3.081325512025729e-09,4.5530479976896165,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,128,3.979947954027261e-08,2.524167177352924e-08,3.273767704220745e-09,4.446805357623431,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,129,2.8502786120973065e-08,2.5458430125892287e-08,3.4360271308059113e-09,0.8860104647563515,0.174
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,130,2.925905431318052e-08,2.6291510748417144e-08,3.572881079534844e-09,0.8305744016393973,0.188
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,131,3.26103865055926e-08,2.5585601148445906e-08,3.5385091208635474e-09,1.9852387311163255,0.038
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,132,3.244323199652974e-08,2.371999035806843e-08,2.8941773514791917e-09,3.014066029506771,0.002
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,133,3.114207434882083e-08,2.4096646866915643e-08,3.1826907762580744e-09,2.213670122923025,0.034
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,134,3.7379577385604565e-08,2.436408735517265e-08,3.170515416268243e-09,4.105165350607692,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,135,3.0171147652789886e-08,2.338532418356385e-08,3.216127448455263e-09,2.10993611975338,0.036
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,136,2.7964909943924097e-08,2.229822515703036e-08,2.9225134636001156e-09,1.938976452109547,0.044
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,137,3.093627795261363e-08,2.280893093786977e-08,2.971118775323418e-09,2.735450054116119,0.016
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,138,3.27846035631737e-08,2.3894010130953185e-08,3.1910972084413837e-09,2.786061611881424,0.012
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,139,3.203799048041426e-08,2.350210529134758e-08,3.0035554153734727e-09,2.8419269860567216,0.008
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,140,3.1113454454567253e-08,2.1930428641349365e-08,2.755639958026933e-09,3.3324476176463307,0.004
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,141,3.31419677952074e-08,2.1606062301188685e-08,2.7557535524248763e-09,4.186116528405779,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,142,3.365317285937483e-08,2.203715179273243e-08,2.8022600635996146e-09,4.145233062958889,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,143,3.272380060165647e-08,2.2479190087450722e-08,2.8075114077207144e-09,3.649000494186009,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,144,2.7938586274799273e-08,2.166868067643903e-08,2.7210316783905564e-09,2.304238369642497,0.028
