k_bin,power,is_prime_mod24_hit
1,251571.6277692783,1
2,110377.19521084307,1
3,64501.32079157012,1
4,40209.80024513269,1
5,27033.792550300957,1
6,20777.137828044197,1
7,16643.75005719705,1
8,12930.296917536587,1
9,9648.13241254252,0
10,7741.561412128883,0
11,6728.029747142264,1
12,5929.386443894327,1
13,4508.920785354022,1
14,4395.824163624881,1
15,3662.908121740687,1
16,3333.5178893892967,1
17,3002.4293311197525,0
18,2726.2744170734277,0
19,2551.454071423188,0
20,2385.772811343569,0
21,2052.8376976507493,1
22,2019.514990101317,1
23,1678.369051807363,1
24,1628.1214893162185,0
25,1546.1155118606134,0
26,1378.191139820041,0
27,1228.094317472524,0
28,1134.2626625969083,0
29,1085.683619892565,0
30,1052.0414409368298,0
31,927.2671776759007,0
32,908.6726917507585,0
33,858.1687120272943,0
34,838.4064743312659,1
35,779.8919973260741,1
36,743.4460678667768,1
37,669.8887999605597,0
38,653.2106437992777,0
39,649.510811792973,1
40,639.319223215835,1
41,531.2205234137334,1
42,581.7922662562069,0
43,551.3122114214235,0
44,513.1467261987,0
45,478.871111189316,0
46,445.62531777383623,0
47,465.71711192871595,0
48,457.37334325981294,0
49,436.1014334122595,0
50,409.8276801492766,0
51,376.520424796843,0
52,334.5881082839569,0
53,342.9813982247024,0
54,341.5779465419581,0
55,298.49431167776,0
56,314.0701967422812,1
57,303.8922598790789,1
58,297.553886392079,1
59,261.6321240284215,0
60,260.21443849016333,0
61,254.89520711316567,0
62,237.6945507032548,0
63,266.01695914051913,0
64,231.48984013552726,0
65,234.15894936197054,0
66,220.80513269857917,0
67,234.55000058151,0
68,225.23931359748153,0
69,212.03739615099542,1
70,178.00610502259906,1
71,195.33995116698281,1
72,196.3717713298485,0
73,194.4783537938729,0
74,175.14894316571952,0
75,192.6090672634592,0
76,161.17071447149655,1
77,163.25582991944003,1
78,173.08903799585673,1
79,162.51613066205672,0
80,175.05658311606683,0
81,157.85699956689223,0
82,149.02673836168992,0
83,148.8189762913362,0
84,141.5741066768568,0
85,138.63486266135445,0
86,151.37966466394622,0
87,149.97030886823438,0
88,154.45011326589622,0
89,139.29057564841142,0
90,157.06770380571604,0
91,143.25125563385933,1
92,157.81303884978882,1
93,144.54448436656236,1
94,144.20826800874133,0
95,154.15834246157632,0
96,163.4328448525477,0
97,160.53004737718146,0
98,159.0090941694058,0
99,157.80581316846343,0
100,163.0603188561832,0
101,187.0599977076182,0
102,200.0364291687198,0
103,198.18245909461078,0
104,198.93057377039784,0
105,231.5862666498106,0
106,219.9156514971185,0
107,240.61209608726534,0
108,273.9190387095811,0
109,251.66609553766204,0
110,309.2022837756392,0
111,315.6743701176358,0
112,350.99085787608107,0
113,373.94169861913105,0
114,408.21874889638184,0
115,450.69480968724514,0
116,452.05636701260437,1
117,543.2559420649108,1
118,567.7029627397063,1
119,616.8417555016342,0
120,676.8643730576808,0
121,718.4793128203918,0
122,778.5756523181936,0
123,810.2725529171586,0
124,809.8201275611275,0
125,935.3680509914685,0
126,977.460839727512,0
127,1018.8120396189679,0
128,1198.0725395861778,0
129,1238.4609457176737,0
130,1302.1542835157204,0
131,1400.447515735252,0
132,1610.2699500133563,0
133,1738.075802466414,0
134,1954.525232126448,0
135,1965.3863036508042,0
136,2217.8894925932414,0
137,2415.8025614357557,0
138,2554.237293602047,0
139,2276.424218559335,0
140,2926.379299964583,0
141,2991.235968394493,0
142,3201.224226500959,0
143,3399.66699582362,0
144,3618.120998759213,1
145,3832.569061612387,1
146,3932.3920472218306,1
147,3842.319917936762,0
148,4473.246825426244,0
149,4568.103274895484,0
150,5302.611709365203,0
151,5235.596591089814,0
152,5626.852181799249,0
153,5653.46273363823,0
154,6055.907515578775,1
155,6530.372802004288,1
156,6353.046852832555,1
157,7308.305702777429,0
158,7505.757493856277,0
159,7431.178588433422,0
160,7270.255519884697,0
161,8850.613896618233,0
162,8870.292788705625,0
163,9136.599172130536,0
164,9656.393557039242,0
165,11086.044507608702,0
166,10532.00504481442,0
167,11004.37338582695,0
168,10513.5799664708,0
169,12729.728545727858,0
170,12722.865181197167,0
171,13239.112880030774,0
172,13002.43529824579,0
173,13985.466997896798,0
174,14026.216022299363,0
175,14599.547401799506,0
176,14444.142384569981,0
177,13837.845748076248,0
178,16103.658313887954,0
179,14167.467224657044,0
180,15852.779697571808,0
181,16228.045598144665,0
182,15862.63775008564,0
183,17586.031385783946,0
184,17203.723518494535,0
185,17292.676797644486,0
186,18432.150932102995,1
187,17801.427461864565,1
188,19774.455990753064,1
189,19056.541745368504,0
190,18497.25101748559,0
191,17285.726873567954,0
192,18064.401069521038,0
193,20548.55734135509,0
194,19580.603377929474,0
195,19470.584701779975,0
196,21479.60398980081,0
197,18647.86931556419,0
198,19395.759557982663,0
199,19540.976039175348,0
200,20611.81479109979,0
201,19349.41962978864,0
202,19367.070957546333,0
203,18325.20659815341,0
204,20570.568153071898,0
205,20543.67743463847,0
206,19159.81149935858,0
207,19645.15538295801,0
208,18075.303107805234,0
209,18691.03825024582,1
210,20246.683969147885,1
211,18849.05550283649,1
212,20619.648902326462,0
213,17512.00711337017,0
214,18479.278692151678,0
215,17498.628716279756,0
216,17861.213153013858,0
217,17048.30285501066,0
218,16256.917381357885,0
219,15675.335437796812,0
220,18493.451749250424,0
221,15613.764527679767,1
222,13761.455744532894,1
223,14443.029114223405,1
224,15035.761391708664,0
225,13798.724651081697,0
226,14693.378553129096,0
227,14028.313449764684,0
228,12858.478658729935,0
229,12257.316249502019,0
230,11538.969342526318,0
231,11333.932085351655,0
232,10506.12010334418,0
233,11598.541170680483,0
234,11378.88984523401,0
235,9507.511826071168,0
236,9176.609780046789,0
237,8537.61247052056,0
238,8551.168005289657,0
239,7271.461972336065,0
240,7768.874876357504,0
241,8388.345581338506,0
242,7393.129628228399,0
243,7483.455945211337,0
244,6671.625026244585,0
245,7082.633597044808,0
246,6250.991643037173,0
247,5766.094136234075,0
248,6288.602240079015,0
249,5199.272791832402,0
250,4697.4329903092275,0
251,4778.427035692704,0
252,4459.643751412432,0
253,4440.662463069281,0
254,3790.2538508778916,0
255,3891.1770092842194,0
256,3667.7440957617605,0
257,3194.193224830253,0
258,3126.116872390217,0
259,2785.7608962751237,1
260,3040.5778209330797,1
261,2455.691167788163,1
262,2324.1643274421904,0
263,2101.084696423231,0
264,2033.2293679828338,0
265,1926.2558708364254,0
266,1861.27131516139,0
267,1614.8422640520569,0
268,1531.8697583287608,0
269,1332.274638329008,0
270,1273.2397028781597,0
271,1398.3923991982606,0
272,1195.261341151911,0
273,1008.1320934326162,0
274,903.0808240738091,0
275,848.3617007211761,0
276,820.1719819214627,0
277,756.4355719208169,0
278,667.9740822719006,0
279,595.8605846584043,0
280,625.5061341335941,0
281,547.0856712231679,0
282,480.5133419915694,0
283,442.8578257647557,0
284,398.30094613848485,0
285,318.65724023638205,0
286,342.6308726531378,1
287,293.85334274519397,1
288,268.5667992993333,1
289,249.06401874230093,0
290,242.55648087795748,0
291,200.20747388784832,0
292,179.29853415171212,0
293,180.95296172095956,0
294,165.10582134118414,0
295,137.3943041753825,0
296,134.53685798488382,0
297,116.89928709398055,0
298,109.15012046880574,0
299,91.32275302972594,0
300,92.03536168368903,0
301,84.9334186585528,0
302,74.98118017545916,0
303,67.78637671814624,0
304,48.59078007493145,0
305,55.13877251640513,0
306,49.45773503732583,0
307,44.777873342184286,0
308,39.852102971622685,0
309,37.70215784390152,0
310,35.12539233267897,0
311,31.151806053887945,0
312,28.34894883077403,0
313,28.39018110147014,0
314,23.348243073927552,0
315,24.081648791898598,0
316,21.474942294846464,0
317,19.049766558997984,0
318,18.297931383776994,0
319,16.625903455742456,0
320,16.968157107673562,0
321,15.78304059513091,0
322,14.302870337072587,0
323,13.229300287249346,0
324,13.570257944349436,0
325,13.419638352881728,0
326,12.236918296797388,0
327,12.110697582188948,0
328,11.251407226766869,0
329,11.15215534440934,1
330,10.643005676459113,1
331,10.674248714965534,1
332,9.493306070275008,0
333,10.366849310825549,0
334,9.727999422182869,0
335,9.832207222488815,0
336,9.33297470314243,0
337,9.495198348916066,0
338,8.716103380948255,0
339,9.626653375128615,0
340,8.2088429430699,0
341,8.408131021992721,0
342,8.876115457803131,0
343,9.318565846237298,0
344,8.719794211077499,0
345,8.416612164946645,0
346,7.8469052318316415,0
347,8.29951587864124,0
348,8.30566429671191,0
349,8.948767685161696,0
350,8.446192786364056,0
351,7.5119964193143165,0
352,8.897110134059941,0
353,7.86638584641614,0
354,7.622356905380271,0
355,8.506685716744313,0
356,7.853700594300229,0
357,7.6815049441113645,0
358,7.863348463975782,0
359,8.058839758735969,0
360,8.068769579386728,0
361,7.117036302258842,0
362,8.358106596958315,0
363,7.9134343483028475,0
364,7.370800882625104,0
365,7.165528672055202,0
366,7.070006946995024,0
367,7.434734166410114,0
368,7.110695197890919,0
369,7.029413169835366,0
370,7.564407332950859,0
371,7.362402911039985,0
372,7.0502392381255925,0
373,7.416769800452804,0
374,7.603148613677826,0
375,6.692124893419636,0
376,6.83056592372193,0
377,7.337257758145253,0
378,7.222172491877386,0
379,7.015348542488116,0
380,7.3037059958643376,0
381,6.495282386024201,0
382,6.33071582141857,0
383,6.509632165389613,0
384,6.81501484879458,0
385,6.475218901275432,0
386,6.551384313996205,0
387,6.361608446931409,0
388,6.455154984186159,0
389,6.304250820203446,0
390,6.7371578476404395,0
391,6.857882855100652,1
392,6.420413733413676,1
393,6.496071055479906,1
394,6.362752648359214,0
395,6.7199267906589935,0
396,6.572552726676377,0
397,7.067658224722525,0
398,6.195251429490038,0
399,6.688411384920686,0
400,6.738503779257078,0
401,6.504468573654191,0
402,6.8601667325095335,0
403,6.23587396982464,0
404,7.504844393658261,0
405,6.407089064823066,0
406,7.287759876010254,0
407,6.6893098348021685,0
408,7.644347940720158,0
409,7.253704932341549,0
410,7.653038889818123,0
411,7.843958727248772,0
412,8.53639596151351,0
413,8.26685926852437,0
414,7.461502253006449,0
415,8.826909851370525,0
416,9.740580398260512,0
417,9.973628394219928,0
418,11.240030663416798,0
419,12.1231452469366,0
420,12.26002941148574,0
421,12.288347417185534,0
422,15.320684657492158,0
423,16.362121613299074,0
424,16.619354469099854,1
425,20.337377965622835,1
426,19.769659561677376,1
427,20.807874732415996,0
428,24.058545538524708,0
429,28.142758471134936,0
430,28.079570649416134,0
431,35.72629642418315,0
432,34.39567066313835,0
433,41.78020528326373,0
434,45.398393215575396,0
435,48.63280301521061,0
436,57.31036036167101,0
437,55.81261980006248,0
438,71.50852088012351,0
439,74.07777708576397,0
440,80.22382476832037,0
441,94.90200214327854,1
442,106.81604991023039,1
443,116.76880534300433,1
444,137.02426741661063,0
445,145.38056418930074,0
446,162.41281126217092,0
447,164.201205081785,0
448,187.45518125655926,0
449,211.65820392144946,0
450,226.89486759961812,0
451,254.0801295072763,0
452,281.5144993604833,0
453,316.06893945847355,0
454,331.65707541520226,0
455,359.6669002961762,0
456,384.97704905662505,0
457,420.54176893068825,0
458,510.1975857752104,0
459,524.9263025731757,0
460,598.6800384605345,0
461,587.9704923255144,0
462,619.1721938427187,0
463,707.6552282889891,0
464,859.2449615193053,0
465,930.5176284811771,0
466,975.0833374987318,0
467,998.6408216274721,0
468,1119.869208749786,0
469,1201.888534070753,0
470,1296.32596250874,0
471,1246.0889083285892,0
472,1470.9557414094736,0
473,1640.4711042927888,0
