source,n,signal
bb_fft2d_axis_k137_139.csv,137,1.5922848595133805e-12
bb_fft2d_axis_k137_139.csv,139,5.030868518130802e-12
bb_fft2d_k137_139.csv,137,6.557678929413516e-12
bb_fft2d_k137_139.csv,139,7.474466904107842e-12
bb_fft2d_radial_none_k137_139.csv,137,8.660550402736679e-12
bb_fft2d_radial_none_k137_139.csv,139,9.646915469529329e-12
bb_fft2d_radial_shuffle_k137_139.csv,137,6.557678929413516e-12
bb_fft2d_radial_shuffle_k137_139.csv,139,7.474466904107842e-12
bb_fft2d_torus_welch_k137_139.csv,137,1.2377710072378143e-11
bb_fft2d_torus_welch_k137_139.csv,139,1.039028080998474e-11
ee_fft2d_torus_welch_k137_139.csv,137,2.1900076489053637e-11
ee_fft2d_torus_welch_k137_139.csv,139,2.5297777155414172e-11
tt_fft2d_torus_welch_W128_k137_139.csv,137,3.093627795261363e-08
tt_fft2d_torus_welch_W128_k137_139.csv,139,3.203799048041426e-08
tt_fft2d_torus_welch_W384_k137_139.csv,137,3.093627795261363e-08
tt_fft2d_torus_welch_W384_k137_139.csv,139,3.203799048041426e-08
tt_fft2d_torus_welch_k137_139.csv,137,3.093627795261363e-08
tt_fft2d_torus_welch_k137_139.csv,139,3.203799048041426e-08
tt_fft2d_torus_welch_none_k137_139.csv,137,3.1484358398937775e-08
tt_fft2d_torus_welch_none_k137_139.csv,139,3.3835539616659264e-08
tt_fft2d_torus_welch_shuffle_k137_139.csv,137,3.093627795261363e-08
tt_fft2d_torus_welch_shuffle_k137_139.csv,139,3.203799048041426e-08
tt_fft2d_torus_welch_w128_phiroll_k137_139.csv,137,3.6479749606978816e-08
tt_fft2d_torus_welch_w256_phiroll_k137_139.csv,137,3.487950547755547e-08
tt_fft2d_torus_welch_w256_phiroll_k137_139.csv,139,3.2816378810062595e-08
tt_fft2d_torus_welch_w512_phiroll_k137_139.csv,137,2.9358669838572943e-08
tt_fft2d_torus_welch_w512_phiroll_k137_139.csv,139,3.214181399434819e-08
tt_obs_w128.csv,137,3.497581058945359e-08
tt_obs_w128.csv,139,3.160828398432155e-08
