section,label,x,y,z
n_star,B = 8π,25.132741228718,65.028843100250,
n_star,B = 39,39.000000000000,111.407252327642,
n_star,B = 46,46.000000000000,135.989243122102,
n_star,B = B_required(137),46.283932910083,137.000000000001,
n_star,B = 46.298,46.298000000000,137.050102817647,
b_required,127,127,43.461989878547,
b_required,131,131,44.594246897098,
b_required,137,137,46.283932910083,
b_required,139,139,46.844927306529,
b_required,149,149,49.634021494313,
b_required,151,151,50.188790980320,
b_required,157,157,51.847301132115,
prime_minimizer,B=25.132741,25.132741228718,67,-2591.255253813489
prime_minimizer,B=39.000000,39.000000000000,113,-8064.598117065285
prime_minimizer,B=46.000000,46.000000000000,137,-12236.719794568846
prime_minimizer,B=46.283933,46.283932910083,137,-12428.101191318630
prime_minimizer,B=46.298000,46.298000000000,137,-12437.582935846702
window,131,45.000000000000,45.400000000000,131
window,137,45.450000000000,46.550000000000,137
window,139,46.600000000000,47.000000000000,139
