k,phase_coherence
0,0.3061224489795918
1,0.02486458259832603
2,0.15796141371338981
3,0.11757644191187618
4,0.02611711299765351
5,0.09285834657657599
6,0.021577960531790334
7,0.02917609974360714
8,0.03085918046294953
9,0.04072965744078373
10,0.031383940715535116
11,0.029224137572231555
12,0.05557535408229827
13,0.07993284245324855
14,0.052015168411259166
15,0.07509696462799034
16,0.11151219770285346
17,0.05156708731366531
18,0.03469995751263434
19,0.027016973529022527
20,0.008938272319599242
21,0.01800048804140661
22,0.06356339355402577
23,0.07165338291158936
24,0.05871497822434298
25,0.058144131668297995
26,0.04426752943280079
27,0.05014715633964367
28,0.08108845190852648
29,0.05952059823504925
30,0.021828448441851035
31,0.046276715043926775
32,0.024678029425167655
33,0.005046386549074344
34,0.0069522141757524004
35,0.04357357850362595
36,0.04128900770116996
37,0.02533882190836413
38,0.07411883269272303
39,0.04569892722191816
40,0.045409225714393125
41,0.03775151904292601
42,0.00035088889525187046
43,0.04231651450094709
44,0.050849433569810455
45,0.09380061156905341
