theta_deg,channel,delta_R,delta_H,delta_Qc,delta_Qd
0.15,TT,0.00831576091033,-0.0333399468857,-0.0174469221774,-7.17583170859e-05
0.155,TT,0.00821027899382,-0.00963906082367,-0.0280747019559,-0.000123779486598
0.16,TT,0.00810412223003,-0.0334944060045,0.0117978720611,4.42475557187e-05
0.165,TT,0.00799730131836,-0.0238957152261,0.00770710168943,5.30732518829e-05
0.17,TT,0.00788982693773,-0.0145246291147,0.0398737699478,0.000235166001088
0.175,TT,0.00778170973548,-0.0199225327217,-0.014377331774,-6.40383103359e-05
0.18,TT,0.0076729603165,-0.00858208852209,-0.00994258403896,-7.25964174465e-05
0.185,TT,0.00756358923248,-0.0337631260521,0.027403815599,0.000127131974961
0.19,TT,0.00745360697143,-0.0437503206274,0.0270961082155,8.59229932889e-05
0.195,TT,0.00734302394748,-0.0346280143846,-0.037843806664,-0.000177214529023
0.2,TT,0.00723185049113,-0.0344161765447,0.0406765617874,0.000200846134782
0.205,TT,0.0071200968398,-0.0123606545113,-0.0161332235702,-7.63091465838e-05
0.21,TT,0.00700777312893,-0.0131015329297,-0.0337952558598,-0.000186403595828
0.215,TT,0.00689488938349,-0.0527598912108,0.0855383036371,0.000413559590192
0.22,TT,0.0067814555101,-0.0185521840669,-0.0286346769377,-0.000163458030361
0.225,TT,0.00666748128957,-0.0264259213216,-0.0433912832282,-0.000212180468053
0.23,TT,0.00655297637004,-0.0199246401137,0.015464920239,7.44104459239e-05
0.235,TT,0.00643795026069,-0.0268618869731,0.026129127144,0.000136224462149
0.24,TT,0.00632241232598,-0.0157760761232,0.000843103617878,4.920618145e-06
0.245,TT,0.00620637178044,-0.0433494034006,-0.0248923010627,-0.000110618723951
0.25,TT,0.00608983768401,-0.00697396647296,0.0162161327287,6.02938810272e-05
0.255,TT,0.00597281893793,-0.0257258996537,0.0428347451618,0.000196085508309
0.26,TT,0.00585532428114,-0.0169681986506,-0.0162127243222,-9.60661805828e-05
