kind,channel,label,raw,n,psd_obs
scan,TT,n=100,100,100,1.3766103271649148
scan,TT,p=101,101,101,2.369000642145633
scan,TT,n=102,102,102,1.231304419667453
scan,TT,p=103,103,103,2.2290144221881367
scan,TT,n=104,104,104,1.598343508578422
scan,TT,n=105,105,105,1.4970541077463586
scan,TT,n=106,106,106,1.247630152808317
scan,TT,p=107,107,107,2.3137039800007257
scan,TT,n=108,108,108,1.3306522889801722
scan,TT,p=109,109,109,2.370952029977337
scan,TT,n=110,110,110,1.3433161677333498
scan,TT,n=111,111,111,1.3598571796205616
scan,TT,n=112,112,112,1.580128323907656
scan,TT,p=113,113,113,2.4883110766008527
scan,TT,n=114,114,114,1.4049908934183246
scan,TT,n=115,115,115,1.383463502362533
scan,TT,n=116,116,116,1.4835873297909399
scan,TT,n=117,117,117,1.2819906169573245
scan,TT,n=118,118,118,1.2920036338316676
scan,TT,n=119,119,119,1.3232763328407768
scan,TT,n=120,120,120,1.4517447203551925
scan,TT,n=121,121,121,1.3114187615991082
scan,TT,n=122,122,122,1.1993343556935132
scan,TT,n=123,123,123,1.3763027556569722
scan,TT,n=124,124,124,1.421612718547691
scan,TT,n=125,125,125,1.204119486766532
scan,TT,n=126,126,126,1.3850445939463798
scan,TT,p=127,127,127,2.327809388833468
scan,TT,n=128,128,128,1.3331998802623113
scan,TT,n=129,129,129,1.4081805623252017
scan,TT,n=130,130,130,1.4430434209510992
scan,TT,p=131,131,131,2.281942567901411
scan,TT,n=132,132,132,1.4199675368355444
scan,TT,n=133,133,133,1.2604101096833558
scan,TT,n=134,134,134,1.2033989029367
scan,TT,n=135,135,135,1.471144827248901
scan,TT,n=136,136,136,1.2644999411999414
target,TT,p=137,137,137,2.3678896610503157
scan,TT,n=138,138,138,1.2298240182881335
target,TT,p=139,139,139,2.1375979390309867
scan,TT,n=140,140,140,1.3422057542118897
scan,TT,n=141,141,141,1.3040455762033105
scan,TT,n=142,142,142,1.3144241026516326
scan,TT,n=143,143,143,1.3168071374788717
scan,TT,n=144,144,144,1.507289914161758
scan,TT,n=145,145,145,1.4468294789477671
scan,TT,n=146,146,146,1.4564149661895542
scan,TT,n=147,147,147,1.11948479405745
scan,TT,n=148,148,148,1.3775893545536604
scan,TT,p=149,149,149,2.1847735898694007
scan,TT,n=150,150,150,1.2361696981821768
scan,TT,p=151,151,151,2.3839573922934
scan,TT,n=152,152,152,1.448747025823793
scan,TT,n=153,153,153,1.3979225166817564
scan,TT,n=154,154,154,1.3717002132944842
scan,TT,n=155,155,155,1.3315767469008544
scan,TT,n=156,156,156,1.3443893755618372
scan,TT,p=157,157,157,2.444428583016336
scan,TT,n=158,158,158,1.1502419626281415
scan,TT,n=159,159,159,1.3258975001827864
scan,TT,n=160,160,160,1.219516074080303
scan,TT,n=161,161,161,1.2569838409764267
scan,TT,n=162,162,162,1.2730082613760152
scan,TT,p=163,163,163,2.1997527970882658
scan,TT,n=164,164,164,1.2324373999208964
scan,TT,n=165,165,165,1.058115424510346
scan,TT,n=166,166,166,1.2972533449060575
scan,TT,p=167,167,167,2.1403027063880025
scan,TT,n=168,168,168,1.2543639103507538
scan,TT,n=169,169,169,1.3530661672635604
scan,TT,n=170,170,170,1.304985973418702
scan,TT,n=171,171,171,1.2944409942277029
scan,TT,n=172,172,172,1.2658683370869954
scan,TT,p=173,173,173,2.298136291935721
scan,TT,n=174,174,174,1.1745316730465496
scan,TT,n=175,175,175,1.2905918586399594
scan,TT,n=176,176,176,1.1845559694210692
scan,TT,n=177,177,177,1.2172895467141427
scan,TT,n=178,178,178,1.1409094941232258
scan,TT,p=179,179,179,2.215144613897839
scan,TT,n=180,180,180,1.4675289423744275
scan,TT,p=181,181,181,2.3396755951398864
scan,TT,n=182,182,182,0.9956804485284294
scan,TT,n=183,183,183,1.2989638291377426
scan,TT,n=184,184,184,1.237269206075284
scan,TT,n=185,185,185,1.2878491023061993
scan,TT,n=186,186,186,1.3918869516267875
scan,TT,n=187,187,187,1.289767789717932
scan,TT,n=188,188,188,1.3499218524619858
scan,TT,n=189,189,189,1.3033586808668511
scan,TT,n=190,190,190,1.1438186083772943
scan,TT,p=191,191,191,2.2291943071453746
scan,TT,n=192,192,192,1.3402684236696427
scan,TT,p=193,193,193,2.267254815464202
scan,TT,n=194,194,194,1.3513375887122003
scan,TT,n=195,195,195,1.3382044552149561
scan,TT,n=196,196,196,1.2437327426747822
scan,TT,p=197,197,197,2.1794363050339625
scan,TT,n=198,198,198,1.1938540779464657
scan,TT,p=199,199,199,2.25414283358385
scan,TT,n=200,200,200,1.214248059619754
