filter,lmin,lmax,center,hamming_rate,rs_mean_zero,rs_tail_rate,p_mean,p_tail
all,110,126,118.0,0.07217004448838359,0.5714285714285714,0.0,0.06387225548902195,1.0
all,112,128,120.0,0.07049100631988332,0.375,0.0,0.2554890219560878,1.0
all,114,130,122.0,0.06791009086561454,0.125,0.0,0.8203592814371258,1.0
all,116,132,124.0,0.06682352941176471,0.125,0.0,0.8143712574850299,1.0
all,118,134,126.0,0.06716072255673923,0.25,0.0,0.5149700598802395,1.0
all,120,136,128.0,0.06292749658002736,0.25,0.0,0.5429141716566867,1.0
all,122,138,130.0,0.06466097889537495,0.25,0.0,0.5149700598802395,1.0
all,124,140,132.0,0.0659000442282176,0.25,0.0,0.5329341317365269,1.0
all,126,142,134.0,0.06753812636165578,0.0,0.0,1.0,1.0
all,128,144,136.0,0.0682696436238729,0.0,0.0,1.0,1.0
all,130,146,138.0,0.07405840033855268,0.1111111111111111,0.0,0.8522954091816367,1.0
all,132,148,140.0,0.07175636211931581,0.2222222222222222,0.0,0.5708582834331337,1.0
all,134,150,142.0,0.06910736322501028,0.3333333333333333,0.0,0.25748502994011974,1.0
all,136,152,144.0,0.0665314401622718,0.2222222222222222,0.0,0.5588822355289421,1.0
all,138,154,146.0,0.06762705082032813,0.1111111111111111,0.0,0.8323353293413174,1.0
all,140,156,148.0,0.06316620607974734,0.0,0.0,1.0,1.0
all,142,158,150.0,0.06155044799376704,0.0,0.0,1.0,1.0
all,144,160,152.0,0.06189926951172626,0.0,0.0,1.0,1.0
all,146,162,154.0,0.058823529411764705,0.2,0.0,0.6287425149700598,1.0
all,148,164,156.0,0.056575496440614464,0.0,0.0,1.0,1.0
all,150,166,158.0,0.06289308176100629,0.3,0.0,0.37325349301397204,1.0
all,152,168,160.0,0.06466934599926927,0.0,0.0,1.0,1.0
all,154,170,162.0,0.06459761818837964,0.3,0.0,0.34530938123752497,1.0
all,156,172,164.0,0.06631016042780749,0.18181818181818182,0.0,0.6626746506986028,1.0
