k,period_N0_over_k,divisor_count_tau,prime_factorization,factor_pairs,eta_like_weight_lambda_0_015,resonance_score,scale_label
1,19043.000000000000,1,1,1x1,9.704455335485e-01,1.365808766026,paleoclimate / glacial-precessional boundary scale
2,9521.500000000000,2,2,1x2,9.559974818331e-01,4.297765740291,early Holocene / Neolithic transition scale
3,6347.666666666667,2,3,1x3,9.417645335842e-01,5.383714447061,early agricultural-civilizational scale
4,4760.750000000000,3,2*2,1x4; 2x2,1.869508019913e+00,13.854884991844,long civilizational epoch scale
5,3808.600000000000,2,5,1x5,9.139311852712e-01,6.858608649321,long civilizational epoch scale
6,3173.833333333333,4,2*3,1x6; 2x3,1.828068008915e+00,22.012664963064,long civilizational epoch scale
7,2720.428571428572,2,7,1x7,8.869204367172e-01,7.847481483909,religious / imperial macro-cycle scale
8,2380.375000000000,4,2*2*2,1x8; 2x4,1.787647096959e+00,24.500346857515,religious / imperial macro-cycle scale
9,2115.888888888889,3,3*3,1x9; 3x3,1.774639161696e+00,19.166528316478,religious / imperial macro-cycle scale
10,1904.300000000000,4,2*5,1x10; 2x5,1.748218226674e+00,26.359757977441,religious / imperial macro-cycle scale
11,1731.181818181818,2,11,1x11,8.352702114113e-01,9.120950304987,religious / imperial macro-cycle scale
12,1586.916666666667,6,2*2*3,1x12; 2x6; 3x4,2.610079617359e+00,55.558028369587,religious / imperial macro-cycle scale
13,1464.846153846154,2,13,1x13,8.105842459702e-01,9.556471250427,religious / imperial macro-cycle scale
14,1360.214285714286,4,2*7,1x14; 2x7,1.672232130447e+00,28.946155033000,religious / imperial macro-cycle scale
15,1269.533333333333,4,3*5,1x15; 3x5,1.673548297784e+00,29.650599435194,religious / imperial macro-cycle scale
16,1190.187500000000,5,2*2*2*2,1x16; 2x8; 4x4,2.522544911103e+00,49.900606235876,empire / cultural-memory scale
17,1120.176470588235,2,17,1x17,7.633794943369e-01,10.193644577769,empire / cultural-memory scale
18,1057.944444444444,6,2*3*3,1x18; 2x9; 3x6,2.473623870095e+00,61.367241132430,empire / cultural-memory scale
19,1002.263157894737,2,19,1x19,7.408182206817e-01,10.430050652174,empire / cultural-memory scale
20,952.150000000000,6,2*2*5,1x20; 2x10; 4x5,2.438774997368e+00,62.816565826622,empire / cultural-memory scale
21,906.809523809524,4,3*7,1x21; 3x7,1.579631709857e+00,31.895004516789,empire / cultural-memory scale
22,865.590909090909,4,2*11,1x22; 2x11,1.531055011524e+00,31.744433395326,empire / cultural-memory scale
23,827.956521739130,2,23,1x23,6.976763260710e-01,10.790613501522,empire / cultural-memory scale
24,793.458333333333,8,2*2*2*3,1x24; 2x12; 3x8; 4x6,3.206475205274e+00,108.320970769315,empire / cultural-memory scale
