k,period_N0_over_k,divisor_count_tau,prime_factorization,factor_pairs,eta_like_weight_lambda_0_015,resonance_score,scale_label
1,19043.000000000000,1,1,1x1,9.704455335485e-01,1.365808766026,paleoclimate / glacial-precessional boundary scale
2,9521.500000000000,2,2,1x2,9.559974818331e-01,4.297765740291,early Holocene / Neolithic transition scale
3,6347.666666666667,2,3,1x3,9.417645335842e-01,5.383714447061,early agricultural-civilizational scale
4,4760.750000000000,3,2*2,1x4; 2x2,1.869508019913e+00,13.854884991844,long civilizational epoch scale
5,3808.600000000000,2,5,1x5,9.139311852712e-01,6.858608649321,long civilizational epoch scale
7,2720.428571428572,2,7,1x7,8.869204367172e-01,7.847481483909,religious / imperial macro-cycle scale
11,1731.181818181818,2,11,1x11,8.352702114113e-01,9.120950304987,religious / imperial macro-cycle scale
13,1464.846153846154,2,13,1x13,8.105842459702e-01,9.556471250427,religious / imperial macro-cycle scale
17,1120.176470588235,2,17,1x17,7.633794943369e-01,10.193644577769,empire / cultural-memory scale
19,1002.263157894737,2,19,1x19,7.408182206817e-01,10.430050652174,empire / cultural-memory scale
23,827.956521739130,2,23,1x23,6.976763260710e-01,10.790613501522,empire / cultural-memory scale
29,656.655172413793,2,29,1x29,6.376281516218e-01,11.139793162864,empire / cultural-memory scale
31,614.290322580645,2,31,1x31,6.187833918061e-01,11.220551439677,empire / cultural-memory scale
37,514.675675675676,2,37,1x37,5.655254386995e-01,11.389467337026,dynastic / historical wave scale
41,464.463414634146,2,41,1x41,5.325918010069e-01,11.456643623707,dynastic / historical wave scale
43,442.860465116279,2,43,1x43,5.168513344917e-01,11.480106192357,dynastic / historical wave scale
47,405.170212765957,2,47,1x47,4.867522559600e-01,11.511033672484,dynastic / historical wave scale
53,359.301886792453,2,53,1x53,4.448580662229e-01,11.527031551426,dynastic / historical wave scale
59,322.762711864407,2,59,1x59,4.065696597406e-01,11.517961675491,dynastic / historical wave scale
61,312.180327868852,2,61,1x61,3.945537103716e-01,11.511021139734,dynastic / historical wave scale
67,284.223880597015,2,67,1x67,3.605949401731e-01,11.482081667368,dynastic / historical wave scale
71,268.211267605634,2,71,1x71,3.395955256449e-01,11.458005595422,dynastic / historical wave scale
73,260.863013698630,2,73,1x73,3.295589610752e-01,11.445016627441,dynastic / historical wave scale
79,241.050632911392,2,79,1x79,3.011942119122e-01,11.403735386966,human lifetime / generational scale
83,229.433734939759,2,83,1x83,2.836540264998e-01,11.375271649036,human lifetime / generational scale
89,213.966292134831,2,89,1x89,2.592402606459e-01,11.332683004247,human lifetime / generational scale
97,196.319587628866,2,97,1x97,2.299254851867e-01,11.278336701539,human lifetime / generational scale
101,188.544554455446,2,101,1x101,2.165356673160e-01,11.252888775454,human lifetime / generational scale
103,184.883495145631,2,103,1x103,2.101360712008e-01,11.240689911615,human lifetime / generational scale
107,177.971962616822,2,107,1x107,1.978986990836e-01,11.217437811822,human lifetime / generational scale
109,174.706422018349,2,109,1x109,1.920499086208e-01,11.206414381033,human lifetime / generational scale
113,168.522123893805,2,113,1x113,1.808657926171e-01,11.185629469511,human lifetime / generational scale
127,149.944881889764,2,127,1x127,1.466069621304e-01,11.126743362155,human lifetime / generational scale
131,145.366412213740,2,131,1x131,1.380692373109e-01,11.113933319956,human lifetime / generational scale
137,139.000000000000,2,137,1x137,1.261857817050e-01,11.098006086156,human lifetime / generational scale
139,137.000000000000,2,139,1x139,1.224564282530e-01,11.093556606771,human lifetime / generational scale
19043,1.000000000000,4,137*139,1x19043; 137x139,1.592285150451e-02,40.045676911288,annual/subannual harmonic scale
