k,period_N0_over_k,divisor_count_tau,prime_factorization,factor_pairs,eta_like_weight_lambda_0_015,resonance_score,scale_label
2520,7.556746031746,48,2*2*2*3*3*5*7,1x2520; 2x1260; 3x840; 4x630; 5x504; 6x420; 7x360; 8x315; 9x280; 10x252; 12x210; 14x180; 15x168; 18x140; 20x126; 21x120; 24x105; 28x90; 30x84; 35x72; 36x70; 40x63; 42x60; 45x56,2.077560224794e+00,1157.026384020249,short cultural cycle scale
5040,3.778373015873,60,2*2*2*2*3*3*5*7,1x5040; 2x2520; 3x1680; 4x1260; 5x1008; 6x840; 7x720; 8x630; 9x560; 10x504; 12x420; 14x360; 15x336; 16x315; 18x280; 20x252; 21x240; 24x210; 28x180; 30x168; 35x144; 36x140; 40x126; 42x120; 45x112; 48x105; 56x90; 60x84; 63x80; 70x72,1.161062598709e+00,1105.430166305351,annual/subannual harmonic scale
1680,11.335119047619,40,2*2*2*2*3*5*7,1x1680; 2x840; 3x560; 4x420; 5x336; 6x280; 7x240; 8x210; 10x168; 12x140; 14x120; 15x112; 16x105; 20x84; 21x80; 24x70; 28x60; 30x56; 35x48; 40x42,2.498177927026e+00,1039.258866733127,short cultural cycle scale
1260,15.113492063492,36,2*2*3*3*5*7,1x1260; 2x630; 3x420; 4x315; 5x252; 6x210; 7x180; 9x140; 10x126; 12x105; 14x90; 15x84; 18x70; 20x63; 21x60; 28x45; 30x42; 35x36,2.848245972761e+00,989.106088851377,short cultural cycle scale
10080,1.889186507937,72,2*2*2*2*2*3*3*5*7,1x10080; 2x5040; 3x3360; 4x2520; 5x2016; 6x1680; 7x1440; 8x1260; 9x1120; 10x1008; 12x840; 14x720; 15x672; 16x630; 18x560; 20x504; 21x480; 24x420; 28x360; 30x336; 32x315; 35x288; 36x280; 40x252; 42x240; 45x224; 48x210; 56x180; 60x168; 63x160; 70x144; 72x140; 80x126; 84x120; 90x112; 96x105,4.659904606707e-01,973.015042600094,annual/subannual harmonic scale
3360,5.667559523810,48,2*2*2*2*2*3*5*7,1x3360; 2x1680; 3x1120; 4x840; 5x672; 6x560; 7x480; 8x420; 10x336; 12x280; 14x240; 15x224; 16x210; 20x168; 21x160; 24x140; 28x120; 30x112; 32x105; 35x96; 40x84; 42x80; 48x70; 56x60,1.473119892253e+00,963.922476495452,annual/subannual harmonic scale
840,22.670238095238,32,2*2*2*3*5*7,1x840; 2x420; 3x280; 4x210; 5x168; 6x140; 7x120; 8x105; 10x84; 12x70; 14x60; 15x56; 20x42; 21x40; 24x35; 28x30,3.412920934540e+00,951.015056699950,social-generation scale
15120,1.259457671958,80,2*2*2*2*3*3*3*5*7,1x15120; 2x7560; 3x5040; 4x3780; 5x3024; 6x2520; 7x2160; 8x1890; 9x1680; 10x1512; 12x1260; 14x1080; 15x1008; 16x945; 18x840; 20x756; 21x720; 24x630; 27x560; 28x540; 30x504; 35x432; 36x420; 40x378; 42x360; 45x336; 48x315; 54x280; 56x270; 60x252; 63x240; 70x216; 72x210; 80x189; 84x180; 90x168; 105x144; 108x140; 112x135; 120x126,2.322880599570e-01,948.747428650708,annual/subannual harmonic scale
7560,2.518915343915,64,2*2*2*3*3*3*5*7,1x7560; 2x3780; 3x2520; 4x1890; 5x1512; 6x1260; 7x1080; 8x945; 9x840; 10x756; 12x630; 14x540; 15x504; 18x420; 20x378; 21x360; 24x315; 27x280; 28x270; 30x252; 35x216; 36x210; 40x189; 42x180; 45x168; 54x140; 56x135; 60x126; 63x120; 70x108; 72x105; 84x90,6.575227077502e-01,947.387865704060,annual/subannual harmonic scale
1440,13.224305555556,36,2*2*2*2*2*3*3*5,1x1440; 2x720; 3x480; 4x360; 5x288; 6x240; 8x180; 9x160; 10x144; 12x120; 15x96; 16x90; 18x80; 20x72; 24x60; 30x48; 32x45; 36x40,2.522013954574e+00,922.173610176710,short cultural cycle scale
